Week,Cases,Dengue,Dengue Fever,Dengue Symptoms,Dengue Treatment,CBC Test,CBC Test Price,Platelet count,Fever,Headache,Platelet,CBC,Mosquito
12/12/2021,196,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,22.0,80.0,7.142857142857142,30.0,20.0
12/19/2021,221,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,7.142857142857142,30.0,20.0
12/26/2021,85,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,22.0,60.0,7.142857142857142,30.0,20.0
1/2/2022,60,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,80.0,14.285714285714285,30.0,20.0
1/9/2022,36,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,40.0,80.0,7.142857142857142,40.0,25.0
1/16/2022,16,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,54.0,80.0,7.142857142857142,30.0,20.0
1/23/2022,9,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,46.0,80.0,7.142857142857142,40.0,20.0
1/30/2022,7,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,40.0,80.0,7.142857142857142,30.0,20.0
2/6/2022,6,2.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,80.0,7.142857142857142,30.0,20.0
2/13/2022,4,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,30.0,20.0
2/20/2022,3,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,80.0,7.142857142857142,40.0,30.0
2/27/2022,1,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,40.0,50.0
3/6/2022,7,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,100.0,7.142857142857142,40.0,60.0
3/13/2022,1,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,14.285714285714285,30.0,60.0
3/20/2022,4,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,40.0,55.00000000000001
3/27/2022,7,3.0,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,26.0,80.0,7.142857142857142,40.0,40.0
4/3/2022,3,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,30.0,40.0
4/10/2022,7,2.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,80.0,7.142857142857142,30.0,35.0
4/17/2022,6,2.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,7.142857142857142,30.0,35.0
4/24/2022,7,2.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,30.0
5/1/2022,2,2.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,32.0,60.0,7.142857142857142,20.0,25.0
5/8/2022,12,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,14.285714285714285,40.0,25.0
5/15/2022,40,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,80.0,7.142857142857142,40.0,25.0
5/22/2022,67,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,40.0,25.0
5/29/2022,101,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,14.285714285714285,40.0,25.0
6/5/2022,136,5.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,14.285714285714285,40.0,20.0
6/12/2022,182,5.0,5.263157894736842,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,46.0,80.0,7.142857142857142,40.0,20.0
6/19/2022,190,8.0,10.526315789473683,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,62.0,80.0,14.285714285714285,50.0,20.0
6/26/2022,240,8.0,10.526315789473683,9.090909090909092,20.0,42.857142857142854,50.0,20.0,78.0,100.0,14.285714285714285,50.0,25.0
7/3/2022,233,7.000000000000001,10.526315789473683,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,74.0,100.0,14.285714285714285,40.0,20.0
7/10/2022,277,6.0,5.263157894736842,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,70.0,100.0,14.285714285714285,40.0,20.0
7/17/2022,411,6.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,46.0,100.0,14.285714285714285,40.0,25.0
7/24/2022,499,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,80.0,14.285714285714285,40.0,25.0
7/31/2022,517,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,14.285714285714285,40.0,25.0
8/7/2022,546,6.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,32.0,80.0,14.285714285714285,50.0,25.0
8/14/2022,702,7.000000000000001,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,32.0,60.0,14.285714285714285,50.0,25.0
8/21/2022,971,8.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,80.0,14.285714285714285,40.0,25.0
8/28/2022,1376,8.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,32.0,80.0,14.285714285714285,40.0,20.0
9/4/2022,1698,10.0,15.789473684210526,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,36.0,80.0,14.285714285714285,40.0,25.0
9/11/2022,2387,14.000000000000002,15.789473684210526,9.090909090909092,20.0,42.857142857142854,50.0,20.0,42.0,80.0,21.428571428571427,40.0,25.0
9/18/2022,2662,17.0,21.052631578947366,15.151515151515152,20.0,42.857142857142854,50.0,40.0,44.0,80.0,21.428571428571427,50.0,30.0
9/25/2022,3287,17.0,21.052631578947366,15.151515151515152,20.0,42.857142857142854,50.0,40.0,44.0,80.0,28.57142857142857,40.0,25.0
10/2/2022,3508,18.0,21.052631578947366,15.151515151515152,20.0,42.857142857142854,50.0,40.0,42.0,80.0,35.714285714285715,50.0,25.0
10/9/2022,734,24.0,26.31578947368421,21.21212121212121,20.0,42.857142857142854,50.0,40.0,42.0,80.0,35.714285714285715,50.0,35.0
10/16/2022,5676,34.0,31.57894736842105,30.303030303030305,20.0,42.857142857142854,50.0,60.0,44.0,80.0,42.857142857142854,60.0,35.0
10/23/2022,5818,31.0,31.57894736842105,27.27272727272727,20.0,42.857142857142854,50.0,40.0,42.0,60.0,35.714285714285715,50.0,40.0
10/30/2022,6068,34.0,31.57894736842105,30.303030303030305,20.0,42.857142857142854,50.0,40.0,42.0,80.0,35.714285714285715,50.0,45.0
11/6/2022,5471,39.0,47.368421052631575,33.33333333333333,20.0,42.857142857142854,50.0,40.0,50.0,80.0,35.714285714285715,50.0,55.00000000000001
11/13/2022,4480,28.000000000000004,26.31578947368421,27.27272727272727,20.0,42.857142857142854,50.0,20.0,44.0,80.0,28.57142857142857,50.0,45.0
11/20/2022,3446,17.0,15.789473684210526,15.151515151515152,20.0,28.57142857142857,50.0,40.0,34.0,60.0,21.428571428571427,40.0,35.0
11/27/2022,2602,14.000000000000002,21.052631578947366,12.121212121212121,20.0,28.57142857142857,50.0,20.0,32.0,60.0,14.285714285714285,30.0,30.0
12/4/2022,1869,10.0,10.526315789473683,9.090909090909092,20.0,28.57142857142857,50.0,20.0,22.0,60.0,14.285714285714285,30.0,30.0
12/11/2022,1185,10.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,26.0,60.0,14.285714285714285,40.0,30.0
12/18/2022,709,8.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,14.285714285714285,40.0,30.0
12/25/2022,410,7.000000000000001,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,14.285714285714285,40.0,30.0
1/1/2023,242,5.0,10.526315789473683,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,26.0,60.0,7.142857142857142,30.0,20.0
1/8/2023,133,5.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,80.0,7.142857142857142,40.0,20.0
1/15/2023,89,5.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,80.0,7.142857142857142,40.0,25.0
1/22/2023,66,5.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,100.0,7.142857142857142,40.0,35.0
1/29/2023,57,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,32.0,80.0,14.285714285714285,40.0,35.0
2/5/2023,56,5.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,32.0,80.0,7.142857142857142,40.0,35.0
2/12/2023,51,5.0,10.526315789473683,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,36.0,80.0,7.142857142857142,50.0,40.0
